category_level_1,category_level_2,category_level_3
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Petroleum and Petroleum Products Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Chemical and Allied Products Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Farm Product Raw Material Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Grocery and Related Product Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ","Apparel, Piece Goods, and Notions Merchant Wholesalers "
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Drugs and Druggists' Sundries Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Paper and Paper Product Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Miscellaneous Durable Goods Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ","Machinery, Equipment, and Supplies Merchant Wholesalers "
Wholesale Trade,"Merchant Wholesalers, Durable Goods ","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers "
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Household Appliances and Electrical and Electronic Goods Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Metal and Mineral (except Petroleum) Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Professional and Commercial Equipment and Supplies Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Lumber and Other Construction Materials Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Furniture and Home Furnishing Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Durable Goods ",Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers 
Manufacturing,Miscellaneous Manufacturing,Other Miscellaneous Manufacturing
Manufacturing,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing
Manufacturing,Furniture and Related Product Manufacturing,Other Furniture Related Product Manufacturing
Manufacturing,Furniture and Related Product Manufacturing,Office Furniture (including Fixtures) Manufacturing
Manufacturing,Furniture and Related Product Manufacturing,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Other Transportation Equipment Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Ship and Boat Building
Manufacturing,Transportation Equipment Manufacturing,Railroad Rolling Stock Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Aerospace Product and Parts Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Motor Vehicle Parts Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Motor Vehicle Body and Trailer Manufacturing
Manufacturing,Transportation Equipment Manufacturing,Motor Vehicle Manufacturing
Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Other Electrical Equipment and Component Manufacturing
Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Electrical Equipment Manufacturing
Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Household Appliance Manufacturing
Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Electric Lighting Equipment Manufacturing
Manufacturing,Computer and Electronic Product Manufacturing,Manufacturing and Reproducing Magnetic and Optical Media
Manufacturing,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
Manufacturing,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing
Manufacturing,Computer and Electronic Product Manufacturing,Audio and Video Equipment Manufacturing
Manufacturing,Computer and Electronic Product Manufacturing,Communications Equipment Manufacturing
Manufacturing,Computer and Electronic Product Manufacturing,Computer and Peripheral Equipment Manufacturing
Manufacturing,Machinery Manufacturing,Other General Purpose Machinery Manufacturing
Manufacturing,Machinery Manufacturing,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
Manufacturing,Machinery Manufacturing,Metalworking Machinery Manufacturing
Manufacturing,Machinery Manufacturing,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
Manufacturing,Machinery Manufacturing,Commercial and Service Industry Machinery Manufacturing
Manufacturing,Machinery Manufacturing,Industrial Machinery Manufacturing
Manufacturing,Machinery Manufacturing,"Agriculture, Construction, and Mining Machinery Manufacturing"
Manufacturing,Fabricated Metal Product Manufacturing,Other Fabricated Metal Product Manufacturing
Manufacturing,Fabricated Metal Product Manufacturing,"Coating, Engraving, Heat Treating, and Allied Activities"
Manufacturing,Fabricated Metal Product Manufacturing,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
Manufacturing,Fabricated Metal Product Manufacturing,Spring and Wire Product Manufacturing
Manufacturing,Fabricated Metal Product Manufacturing,Hardware Manufacturing
Manufacturing,Fabricated Metal Product Manufacturing,"Boiler, Tank, and Shipping Container Manufacturing"
Manufacturing,Fabricated Metal Product Manufacturing,Architectural and Structural Metals Manufacturing
Manufacturing,Fabricated Metal Product Manufacturing,Cutlery and Handtool Manufacturing
Manufacturing,Fabricated Metal Product Manufacturing,Forging and Stamping
Manufacturing,Primary Metal Manufacturing,Foundries
Manufacturing,Primary Metal Manufacturing,Nonferrous Metal (except Aluminum) Production and Processing
Manufacturing,Primary Metal Manufacturing,Alumina and Aluminum Production and Processing
Manufacturing,Primary Metal Manufacturing,Steel Product Manufacturing from Purchased Steel
Manufacturing,Primary Metal Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing
Manufacturing,Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing
Manufacturing,Nonmetallic Mineral Product Manufacturing,Lime and Gypsum Product Manufacturing
Manufacturing,Nonmetallic Mineral Product Manufacturing,Cement and Concrete Product Manufacturing
Manufacturing,Nonmetallic Mineral Product Manufacturing,Glass and Glass Product Manufacturing
Manufacturing,Nonmetallic Mineral Product Manufacturing,Clay Product and Refractory Manufacturing
Manufacturing,Plastics and Rubber Products Manufacturing,Rubber Product Manufacturing
Manufacturing,Plastics and Rubber Products Manufacturing,Plastics Product Manufacturing
Manufacturing,Chemical Manufacturing,Other Chemical Product and Preparation Manufacturing
Manufacturing,Chemical Manufacturing,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
Manufacturing,Chemical Manufacturing,"Paint, Coating, and Adhesive Manufacturing"
Manufacturing,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing
Manufacturing,Chemical Manufacturing,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
Manufacturing,Chemical Manufacturing,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
Manufacturing,Chemical Manufacturing,Basic Chemical Manufacturing
Manufacturing,Petroleum and Coal Products Manufacturing,
Manufacturing,Printing and Related Support Activities,
Manufacturing,Paper Manufacturing,Converted Paper Product Manufacturing
Manufacturing,Paper Manufacturing,"Pulp, Paper, and Paperboard Mills"
Manufacturing,Wood Product Manufacturing,Other Wood Product Manufacturing
Manufacturing,Wood Product Manufacturing,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
Manufacturing,Wood Product Manufacturing,Sawmills and Wood Preservation
Manufacturing,Leather and Allied Product Manufacturing,Other Leather and Allied Product Manufacturing
Manufacturing,Leather and Allied Product Manufacturing,Footwear Manufacturing
Manufacturing,Leather and Allied Product Manufacturing,Leather and Hide Tanning and Finishing
Manufacturing,Apparel Manufacturing,Apparel Accessories and Other Apparel Manufacturing
Manufacturing,Apparel Manufacturing,Cut and Sew Apparel Manufacturing
Manufacturing,Apparel Manufacturing,Apparel Knitting Mills
Manufacturing,Textile Product Mills,Other Textile Product Mills
Manufacturing,Textile Product Mills,Textile Furnishings Mills
Manufacturing,Textile Mills,Textile and Fabric Finishing and Fabric Coating Mills
Manufacturing,Textile Mills,Fabric Mills
Manufacturing,Textile Mills,"Fiber, Yarn, and Thread Mills"
Manufacturing,Beverage and Tobacco Product Manufacturing,Tobacco Manufacturing
Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing
Manufacturing,Food Manufacturing,Other Food Manufacturing
Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing
Manufacturing,Food Manufacturing,Seafood Product Preparation and Packaging
Manufacturing,Food Manufacturing,Animal Slaughtering and Processing
Manufacturing,Food Manufacturing,Dairy Product Manufacturing
Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing
Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing
Manufacturing,Food Manufacturing,Grain and Oilseed Milling
Manufacturing,Food Manufacturing,Animal Food Manufacturing
Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
Construction,Specialty Trade Contractors,Building Finishing Contractors
Construction,Specialty Trade Contractors,Building Equipment Contractors
Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction
Construction,Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction"
Construction,Heavy and Civil Engineering Construction,Land Subdivision
Construction,Heavy and Civil Engineering Construction,Utility System Construction
Construction,Construction of Buildings,Nonresidential Building Construction
Construction,Construction of Buildings,Residential Building Construction
Utilities,Utilities ,"Water, Sewage and Other Systems "
Utilities,Utilities ,Natural Gas Distribution 
Utilities,Utilities ,"Electric Power Generation, Transmission and Distribution"
"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,
"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining
"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Forestry
"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Animal Production
"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Hunting and Trapping
"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Logging
"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Forest Nurseries and Gathering of Forest Products
